OPSNET : Tower Operations : Standard Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"From 01/2020 To 11/2023 | Facility=MCO, ACY, AMA, ANC, APA, ATL, AUS, AVL, BCT, BDL, BED, BFI, BFM, BJC, BKL, BNA, BOS, BTR, BUF, BWI, BZN, CHO, CHS, CID, CMA, CMH, DAL, DCA, DEN, DSM, DTW, EGE, EWR, EYW, FAT, FAY, FDK, FLL, FSD, FSM, FTW, FTY, FXE, GEG, GRB, GRR, GSO, GYY, HEF, HNL, HOU, HPN, HSV, HXD, IAD, IAH, ICT, IFP, IND, INT, ISM, ITO, IXD, JAX, KOA, LAS, LAX, LEX, LFT, LGB, LIH, LIT, LRD, LUK, MAF, MCI, MDW, MEM, MHT, MIA, MKC, MKE, MMU, MOB, MSP, MSY, NEW, OAK, OGG, OMA, OPF, ORD, ORF, PBI, PDK, PIE, PSP, PVU, PWK, RDU, ROA, RST, SAF, SAN, SAT, SAV, SBA, SDL, SEA, SFO, SHV, SJC, SLC, STL, STP, STS, STT, SUS, SWF, TEB, TMB, TPA, TTN, TXK, TYS, UGN, VNY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,,,,
Sep-23,IAD,VA,AEA,EN,Towers with Radar,"16,749","5,307","2,721",39,"24,816",24,38,29,0,91,0,25,70,8,103,0,95,199,67,361,0,0,0,"24,919","25,371",
Sep-23,IAH,TX,ASW,CE,Towers with Radar,"29,806","4,117",595,2,"34,520",38,8,5,0,51,0,15,66,2,83,0,59,288,61,408,0,0,0,"34,603","35,062",
Sep-23,ICT,KS,ACE,CE,Combined TRACON & Tower with Radar,"1,911",896,"2,080",953,"5,840",0,16,32,13,61,1,152,"1,579",140,"1,872",0,63,121,14,198,"2,216",328,"2,544","10,256","10,515",
Sep-23,IFP,AZ,AWP,WE,Federal Contract Tower,40,5,51,0,96,0,0,10,0,10,0,118,468,14,600,0,21,46,12,79,210,8,218,914,"1,003",
Sep-23,IND,IN,AGL,CE,Combined TRACON & Tower with Radar,"9,966","1,270","1,086",61,"12,383",2,18,60,0,80,0,"3,959",211,21,"4,191",0,176,136,5,317,0,0,0,"16,574","16,971",
Sep-23,INT,NC,ASO,ES,Federal Contract Tower,15,465,625,9,"1,114",0,4,6,0,10,0,137,"1,200",8,"1,345",0,250,62,0,312,"1,398",0,"1,398","3,857","4,179",
Sep-23,ISM,FL,ASO,ES,Federal Contract Tower,0,262,"1,559",4,"1,825",0,0,0,0,0,0,108,"3,395",0,"3,503",0,129,"1,247",0,"1,376","4,992",2,"4,994","10,322","11,698",
Sep-23,ITO,HI,AWP,WE,Combined TRACON & Tower with Radar,"1,425",192,54,116,"1,787",0,0,0,0,0,0,"1,038",202,41,"1,281",0,52,3,1,56,611,138,749,"3,817","3,873",
Sep-23,IXD,KS,ACE,CE,Federal Contract Tower,0,237,757,49,"1,043",0,2,10,0,12,0,27,"3,135",93,"3,255",0,12,194,6,212,"4,186",49,"4,235","8,533","8,757",
Sep-23,JAX,FL,ASO,ES,Combined TRACON & Tower with Radar,"5,082",913,881,186,"7,062",40,136,119,2,297,0,42,209,59,310,0,81,120,10,211,94,224,318,"7,690","8,198",
Sep-23,KOA,HI,AWP,WE,Federal Contract Tower,"3,017",111,235,136,"3,499",0,0,0,0,0,0,589,"1,270",50,"1,909",0,3,5,0,8,"4,626",194,"4,820","10,228","10,236",
Sep-23,LAS,NV,AWP,WE,Towers with Radar,"34,937","4,223","3,075",718,"42,953",8,66,148,2,224,0,"8,809",250,51,"9,110",0,780,454,20,"1,254",0,0,0,"52,063","53,541",
Sep-23,LAX,CA,AWP,WE,Towers with Radar,"45,365","1,436",968,12,"47,781",30,3,4,0,37,1,0,74,4,79,0,16,"1,260",89,"1,365",0,0,0,"47,860","49,262",
Sep-23,LEX,KY,ASO,CE,Combined TRACON & Tower with Radar,"1,188",975,"2,337",89,"4,589",1,2,8,5,16,0,93,"1,807",50,"1,950",0,48,44,9,101,"1,973",10,"1,983","8,522","8,639",
Sep-23,LFT,LA,ASW,CE,Combined TRACON & Tower with Radar,695,273,677,39,"1,684",0,4,7,0,11,0,530,904,10,"1,444",0,173,117,1,291,565,8,573,"3,701","4,003",
Sep-23,LGB,CA,AWP,WE,Towers with Radar,"2,934",718,"2,122",14,"5,788",2,4,30,1,37,0,329,"7,064",19,"7,412",0,15,"1,095",31,"1,141","23,185",0,"23,185","36,385","37,563",
Sep-23,LIH,HI,AWP,WE,Federal Contract Tower,"2,686",295,67,91,"3,139",0,0,0,0,0,0,"7,195",272,23,"7,490",0,1,0,3,4,"1,681",18,"1,699","12,328","12,332",
Sep-23,LIT,AR,ASW,ES,Combined TRACON & Tower with Radar,"2,090","1,078","1,493",588,"5,249",3,8,31,11,53,0,146,984,119,"1,249",0,363,148,10,521,838,519,"1,357","7,855","8,429",
Sep-23,LRD,TX,ASW,CE,Federal Contract Tower,877,774,581,166,"2,398",0,0,15,0,15,2,52,546,118,718,0,0,58,3,61,88,428,516,"3,632","3,708",
Sep-23,LUK,OH,ASO,CE,Federal Contract Tower,7,"1,227","1,638",13,"2,885",0,2,2,0,4,0,380,"2,596",32,"3,008",0,98,138,0,236,"5,538",5,"5,543","11,436","11,676",
Sep-23,MAF,TX,ASW,CE,Combined TRACON & Tower with Radar,"1,545",605,"1,109",434,"3,693",2,15,36,12,65,0,15,372,70,457,0,41,518,1,560,83,100,183,"4,333","4,958",
Sep-23,MCI,MO,ACE,CE,Combined TRACON & Tower with Radar,"9,025",193,266,60,"9,544",15,8,10,15,48,0,12,67,45,124,0,13,57,2,72,16,34,50,"9,718","9,838",
Sep-23,MCO,FL,ASO,ES,Towers with Radar,"28,991","1,058",814,2,"30,865",6,0,0,0,6,1,77,127,2,207,0,23,26,0,49,0,0,0,"31,072","31,127",
Sep-23,MDW,IL,AGL,CE,Towers with Radar,"14,794","2,618","2,002",14,"19,428",16,10,13,0,39,0,69,684,22,775,0,72,189,41,302,0,0,0,"20,203","20,544",
Sep-23,MEM,TN,ASO,ES,Towers with Radar,"15,030",998,"1,242",84,"17,354",23,5,13,0,41,1,18,132,20,171,0,111,244,10,365,0,0,0,"17,525","17,931",
Sep-23,MHT,NH,ANE,EN,Towers with Radar,"1,460",708,444,19,"2,631",2,20,64,2,88,4,134,624,15,777,0,12,306,1,319,329,12,341,"3,749","4,156",
Sep-23,MIA,FL,ASO,ES,Combined TRACON & Tower with Radar,"31,069","1,527",686,37,"33,319",26,0,0,2,28,61,40,100,2,203,0,2,456,13,471,0,0,0,"33,522","34,021",
Sep-23,MKC,MO,ACE,CE,Towers with Radar,46,"1,712","1,655",45,"3,458",1,1,3,1,6,1,861,"2,664",33,"3,559",0,127,364,26,517,"2,621",4,"2,625","9,642","10,165",
Sep-23,MKE,WI,AGL,CE,Combined TRACON & Tower with Radar,"4,881","1,677",563,135,"7,256",4,6,39,0,49,0,78,802,26,906,0,48,122,0,170,0,0,0,"8,162","8,381",
Sep-23,MMU,NJ,AEA,EN,Towers with Radar,1,"1,142","1,329",0,"2,472",37,848,671,1,"1,557",0,12,"1,967",0,"1,979",0,0,435,0,435,"3,463",0,"3,463","7,914","9,906",
Sep-23,MOB,AL,ASO,CE,Combined TRACON & Tower with Radar,435,278,393,"1,551","2,657",34,4,65,89,192,0,7,397,736,"1,140",0,35,43,37,115,895,852,"1,747","5,544","5,851",
Sep-23,MSP,MN,AGL,CE,Towers with Radar,"24,037","2,226",725,136,"27,124",13,139,365,3,520,0,8,45,5,58,0,294,266,18,578,0,0,0,"27,182","28,280",
Sep-23,MSY,LA,ASW,CE,Combined TRACON & Tower with Radar,"7,891",467,581,28,"8,967",12,5,13,2,32,0,137,117,8,262,0,54,327,126,507,0,0,0,"9,229","9,768",
Sep-23,NEW,LA,ASW,CE,Towers with Radar,0,282,"1,441",59,"1,782",4,1,7,2,14,0,132,"2,314",94,"2,540",0,52,70,20,142,"2,857",82,"2,939","7,261","7,417",
Sep-23,OAK,CA,AWP,WE,Towers with Radar,"9,301","1,721",984,6,"12,012",6,88,160,0,254,1,172,"1,287",13,"1,473",1,59,734,22,816,"2,614",0,"2,614","16,099","17,169",
Sep-23,OGG,HI,AWP,WE,Towers with Radar,"4,516",237,115,55,"4,923",0,1,0,0,1,0,"2,497",672,18,"3,187",0,39,16,3,58,792,0,792,"8,902","8,961",
Sep-23,OMA,NE,ACE,CE,Towers with Radar,"4,079","1,471","1,269",66,"6,885",1,0,3,0,4,0,27,535,42,604,0,102,181,6,289,647,20,667,"8,156","8,449",
Sep-23,OPF,FL,ASO,ES,Federal Contract Tower,6,"1,374","3,672",74,"5,126",0,0,0,0,0,0,67,"3,137",332,"3,536",0,0,697,6,703,"4,252",269,"4,521","13,183","13,886",
Sep-23,ORD,IL,AGL,CE,Towers with Radar,"50,929","10,937",311,2,"62,179",11,14,7,0,32,0,3,90,1,94,0,6,19,0,25,0,0,0,"62,273","62,330",
Sep-23,ORF,VA,AEA,EN,Combined TRACON & Tower with Radar,"4,286",538,819,59,"5,702",44,1,3,75,123,0,10,583,123,716,0,2,197,327,526,243,12,255,"6,673","7,322",
Sep-23,PBI,FL,ASO,ES,Combined TRACON & Tower with Radar,"3,488","2,453","2,057",13,"8,011",2,1,7,3,13,2,148,"1,309",55,"1,514",0,54,435,33,522,105,0,105,"9,630","10,165",
Sep-23,PDK,GA,ASO,ES,Towers with Radar,2,"2,196","3,757",15,"5,970",0,11,19,6,36,0,196,"5,095",9,"5,300",0,247,847,18,"1,112","6,276",0,"6,276","17,546","18,694",
Sep-23,PIE,FL,ASO,ES,Towers with Radar,968,"1,312","1,341",226,"3,847",0,0,64,0,64,0,332,"1,795",282,"2,409",0,9,385,44,438,"7,743",136,"7,879","14,135","14,637",
Sep-23,PSP,CA,AWP,WE,Towers with Radar,"1,533",452,254,37,"2,276",4,5,7,1,17,0,88,607,41,736,1,101,79,5,186,170,18,188,"3,200","3,403",
Sep-23,PVU,UT,ANM,WE,Federal Contract Tower,224,277,818,4,"1,323",0,3,17,1,21,0,826,"3,345",9,"4,180",0,58,573,6,637,"3,671",4,"3,675","9,178","9,836",
Sep-23,PWK,IL,AGL,CE,Towers with Radar,1,"1,795","2,081",0,"3,877",0,2,2,0,4,0,16,"2,207",0,"2,223",0,0,61,0,61,"2,725",0,"2,725","8,825","8,890",
Sep-23,RDU,NC,ASO,EN,Combined TRACON & Tower with Radar,"11,642","1,535","2,077",138,"15,392",18,5,2,0,25,0,278,"1,739",343,"2,360",0,8,36,7,51,38,12,50,"17,802","17,878",
Sep-23,ROA,VA,AEA,EN,Combined TRACON & Tower with Radar,462,923,601,33,"2,019",5,4,9,2,20,0,10,829,40,879,0,7,27,14,48,"1,033",6,"1,039","3,937","4,005",
Sep-23,RST,MN,AGL,CE,Combined TRACON & Tower with Radar,214,767,961,14,"1,956",0,4,7,0,11,0,126,720,20,866,0,51,24,0,75,"1,420",40,"1,460","4,282","4,368",
Sep-23,SAF,NM,ASW,CE,Federal Contract Tower,461,524,726,64,"1,775",0,0,0,0,0,0,39,"1,328",91,"1,458",0,17,62,5,84,"1,466",45,"1,511","4,744","4,828",
Sep-23,SAN,CA,AWP,WE,Towers with Radar,"16,341","1,244",749,32,"18,366",6,5,1,13,25,0,5,109,62,176,0,95,"1,255",899,"2,249",0,0,0,"18,542","20,816",
Sep-23,SAT,TX,ASW,CE,Combined TRACON & Tower with Radar,"7,840","1,339","2,390",197,"11,766",19,1,13,1,34,2,543,959,121,"1,625",0,127,307,48,482,3,3,6,"13,397","13,913",
Sep-23,SAV,GA,ASO,ES,Combined TRACON & Tower with Radar,"3,079","1,181","2,031",424,"6,715",14,2,6,4,26,0,88,"1,993",65,"2,146",0,107,78,5,190,403,74,477,"9,338","9,554",
Sep-23,SBA,CA,AWP,WE,Combined TRACON & Tower with Radar,"1,182","1,159","1,353",55,"3,749",4,2,6,0,12,0,70,"1,679",12,"1,761",0,46,83,11,140,"2,236",48,"2,284","7,794","7,946",
Sep-23,SDL,AZ,AWP,CE,Towers with Radar,0,"1,800","2,273",32,"4,105",0,4,8,1,13,0,"2,460","3,055",16,"5,531",0,132,181,0,313,"4,561",0,"4,561","14,197","14,523",
Sep-23,SEA,WA,ANM,WE,Towers with Radar,"37,700",319,92,0,"38,111",27,32,31,0,90,1,3,24,1,29,0,7,65,1,73,0,0,0,"38,140","38,303",
Sep-23,SFO,CA,AWP,WE,Towers with Radar,"29,725","2,464",628,49,"32,866",22,3,50,0,75,1,78,87,176,342,0,38,295,12,345,0,0,0,"33,208","33,628",
Sep-23,SHV,LA,ASW,CE,Combined TRACON & Tower with Radar,949,630,456,49,"2,084",5,6,7,0,18,1,35,296,10,342,0,52,52,0,104,78,10,88,"2,514","2,636",
Sep-23,SJC,CA,AWP,WE,Towers with Radar,"9,444","1,908","1,588",2,"12,942",2,214,170,27,413,0,31,660,7,698,0,103,698,38,839,350,0,350,"13,990","15,242",
Sep-23,SLC,UT,ANM,WE,Towers with Radar,"19,203","2,867","1,819",139,"24,028",0,5,10,2,17,0,362,"1,658",169,"2,189",0,322,809,34,"1,165",84,0,84,"26,301","27,483",
Sep-23,STL,MO,ACE,CE,Towers with Radar,"11,671",891,453,62,"13,077",10,113,148,21,292,60,21,88,29,198,0,95,210,1,306,30,11,41,"13,316","13,914",
Sep-23,STP,MN,AGL,CE,Towers with Radar,5,465,"1,234",22,"1,726",1,6,44,1,52,0,49,814,105,968,0,83,201,3,287,684,20,704,"3,398","3,737",
Sep-23,STS,CA,AWP,WE,Towers with Radar,851,467,753,4,"2,075",0,0,0,0,0,0,359,"2,069",15,"2,443",0,90,97,0,187,"2,663",6,"2,669","7,187","7,374",
Sep-23,STT,VI,ASO,ES,Towers with Radar,496,539,142,4,"1,181",4,2,0,0,6,0,"1,249","1,017",13,"2,279",2,263,22,36,323,184,1,185,"3,645","3,974",
Sep-23,SUS,MO,ACE,CE,Towers with Radar,0,"1,375","1,937",125,"3,437",0,2,17,0,19,0,660,"3,621",66,"4,347",0,12,175,1,188,"7,451",30,"7,481","15,265","15,472",
Sep-23,SWF,NY,AEA,EN,Federal Contract Tower,344,231,376,105,"1,056",0,0,8,0,8,0,51,825,183,"1,059",0,14,108,2,124,280,238,518,"2,633","2,765",
Sep-23,TEB,NJ,AEA,EN,Towers with Radar,2,"8,311","6,114",12,"14,439","5,377",108,62,0,"5,547",0,415,995,18,"1,428",0,156,242,20,418,0,0,0,"15,867","21,832",
Sep-23,TMB,FL,ASO,ES,Towers with Radar,0,245,"1,634",7,"1,886",1,0,1,1,3,0,49,"8,556",14,"8,619",0,1,213,2,216,"14,739",2,"14,741","25,246","25,465",
Sep-23,TPA,FL,ASO,ES,Combined TRACON & Tower with Radar,"13,033","1,703","1,546",28,"16,310",21,1,12,2,36,11,67,504,31,613,0,22,609,81,712,0,0,0,"16,923","17,671",
Sep-23,TTN,NJ,AEA,EN,Federal Contract Tower,287,446,"1,036",4,"1,773",0,0,0,0,0,0,2,"4,461",4,"4,467",0,0,195,2,197,"1,324",0,"1,324","7,564","7,761",
Sep-23,TXK,AR,ASW,CE,Federal Contract Tower,154,116,477,30,777,0,0,1,0,1,0,144,364,28,536,0,109,132,7,248,304,30,334,"1,647","1,896",
Sep-23,TYS,TN,ASO,ES,Combined TRACON & Tower with Radar,"2,589","1,586","2,856",683,"7,714",6,2,6,5,19,0,73,"1,660",118,"1,851",0,7,10,1,18,"1,810",377,"2,187","11,752","11,789",
Sep-23,UGN,IL,AGL,CE,Federal Contract Tower,1,238,499,21,759,0,0,10,0,10,0,4,"2,578",11,"2,593",0,0,234,16,250,930,0,930,"4,282","4,542",
Sep-23,VNY,CA,AWP,WE,Towers with Radar,10,"2,740","3,365",6,"6,121","2,612",825,506,9,"3,952",0,52,"7,399",27,"7,478",0,29,"1,640",17,"1,686","15,315",0,"15,315","28,914","34,552",
Oct-23,ACY,NJ,AEA,EN,Combined TRACON & Tower with Radar,617,459,790,442,"2,308",0,0,3,0,3,0,29,"1,060",504,"1,593",0,6,29,9,44,626,580,"1,206","5,107","5,154",
Oct-23,AMA,TX,ASW,CE,Combined TRACON & Tower with Radar,737,533,534,769,"2,573",0,0,14,2,16,0,46,265,106,417,0,18,204,15,237,328,368,696,"3,686","3,939",
Oct-23,ANC,AK,AAL,WE,Towers with Radar,"10,898","3,792",938,234,"15,862",39,37,39,344,459,1,"1,298","3,569",371,"5,239",0,85,236,59,380,840,0,840,"21,941","22,780",
Oct-23,APA,CO,ANM,WE,Towers with Radar,0,"2,655","3,229",202,"6,086",0,3,8,2,13,0,"2,240","7,465",111,"9,816",0,35,80,8,123,"14,208",44,"14,252","30,154","30,290",
Oct-23,ATL,GA,ASO,ES,Towers with Radar,"66,069",807,455,21,"67,352",48,11,70,1,130,0,9,157,9,175,0,240,187,32,459,0,0,0,"67,527","68,116",
Oct-23,AUS,TX,ASW,CE,Combined TRACON & Tower with Radar,"18,057","2,259","3,409",209,"23,934",106,31,41,2,180,7,34,468,196,705,0,175,784,282,"1,241",0,20,20,"24,659","26,080",
Oct-23,AVL,NC,ASO,ES,Combined TRACON & Tower with Radar,"2,401","1,061","2,281",202,"5,945",2,2,5,2,11,0,19,936,56,"1,011",0,35,84,1,120,"1,025",54,"1,079","8,035","8,166",
Oct-23,BCT,FL,ASO,ES,Federal Contract Tower,0,"1,261","1,177",0,"2,438",0,0,0,0,0,0,0,"2,655",0,"2,655",0,12,"1,384",36,"1,432","3,053",0,"3,053","8,146","9,578",
Oct-23,BDL,CT,ANE,EN,Towers with Radar,"4,936",536,785,96,"6,353",3,11,44,9,67,0,23,430,124,577,0,34,228,6,268,91,19,110,"7,040","7,375",
Oct-23,BED,MA,ANE,EN,Towers with Radar,51,"2,313","2,189",26,"4,579",0,11,14,0,25,0,277,"3,360",8,"3,645",0,56,358,2,416,"3,610",20,"3,630","11,854","12,295",
Oct-23,BFI,WA,ANM,WE,Towers with Radar,485,"1,912","2,145",57,"4,599",59,31,311,0,401,0,"1,062","3,535",18,"4,615",0,465,546,17,"1,028","4,787",2,"4,789","14,003","15,432",
Oct-23,BFM,AL,ASO,CE,Federal Contract Tower,189,114,438,593,"1,334",30,0,21,13,64,0,85,328,500,913,0,135,26,122,283,292,"2,680","2,972","5,219","5,566",
Oct-23,BJC,CO,ANM,WE,Towers with Radar,2,"1,059","1,285",60,"2,406",1,10,20,2,33,27,830,"7,606",105,"8,568",0,37,153,5,195,"15,063",159,"15,222","26,196","26,424",
Oct-23,BKL,OH,AGL,CE,Federal Contract Tower,1,498,576,21,"1,096",0,129,176,0,305,0,576,706,13,"1,295",0,559,142,1,702,786,2,788,"3,179","4,186",
Oct-23,BNA,TN,ASO,ES,Combined TRACON & Tower with Radar,"18,940","2,992","2,480",70,"24,482",25,46,127,1,199,0,41,967,122,"1,130",0,336,850,29,"1,215",0,0,0,"25,612","27,026",
Oct-23,BOS,MA,ANE,EN,Towers with Radar,"29,842","4,410",751,8,"35,011",14,112,102,2,230,0,823,192,16,"1,031",0,655,563,28,"1,246",0,0,0,"36,042","37,518",
Oct-23,BTR,LA,ASW,CE,Combined TRACON & Tower with Radar,978,744,"1,719",64,"3,505",1,6,8,4,19,0,165,"1,126",24,"1,315",0,18,156,4,178,859,4,863,"5,683","5,880",
Oct-23,BUF,NY,AEA,CE,Combined TRACON & Tower with Radar,"4,388",987,670,19,"6,064",17,2,5,1,25,0,163,362,8,533,0,46,66,0,112,0,0,0,"6,597","6,734",
Oct-23,BWI,MD,AEA,EN,Towers with Radar,"19,475","1,312",959,57,"21,803",36,5,31,0,72,0,35,260,20,315,0,327,666,41,"1,034",0,0,0,"22,118","23,224",
Oct-23,BZN,MT,ANM,WE,Federal Contract Tower,"1,501",624,"1,088",8,"3,221",0,0,0,0,0,0,64,"3,161",11,"3,236",0,10,10,0,20,"4,292",2,"4,294","10,751","10,771",
Oct-23,CHO,VA,AEA,EN,Federal Contract Tower,441,"1,766","1,910",220,"4,337",0,0,0,0,0,0,646,"2,228",68,"2,942",0,153,217,0,370,"3,832","1,324","5,156","12,435","12,805",
Oct-23,CHS,SC,ASO,ES,Combined TRACON & Tower with Radar,"5,415","1,336","2,104",505,"9,360",13,13,40,6,72,0,192,"1,483",88,"1,763",0,53,56,5,114,360,200,560,"11,683","11,869",
Oct-23,CID,IA,ACE,CE,Combined TRACON & Tower with Radar,"1,411",326,511,12,"2,260",7,0,0,0,7,0,14,532,5,551,0,10,14,1,25,603,0,603,"3,414","3,446",
Oct-23,CMA,CA,AWP,WE,Towers with Radar,26,299,"1,762",20,"2,107",3,1,345,193,542,99,23,"5,543",13,"5,678",6,0,369,11,386,"8,065",0,"8,065","15,850","16,778",
Oct-23,CMH,OH,AGL,CE,Combined TRACON & Tower with Radar,"7,786","1,311","1,385",14,"10,496",59,216,245,1,521,1,30,262,6,299,0,197,601,10,808,0,0,0,"10,795","12,124",
Oct-23,DAL,TX,ASW,CE,Towers with Radar,"13,368","4,564","4,133",58,"22,123",25,180,643,4,852,0,137,449,9,595,0,836,970,24,"1,830",0,0,0,"22,718","25,400",
Oct-23,DCA,DC,AEA,EN,Towers with Radar,"25,312",370,184,37,"25,903",31,2,55,2,90,0,4,3,160,167,0,"1,177","1,662","1,327","4,166",0,0,0,"26,070","30,326",
Oct-23,DEN,CO,ANM,WE,Towers with Radar,"52,199","6,316",239,2,"58,756",128,31,14,1,174,0,11,63,0,74,0,31,39,13,83,0,0,0,"58,830","59,087",
Oct-23,DSM,IA,ACE,CE,Combined TRACON & Tower with Radar,"2,823",413,"1,329",79,"4,644",21,9,99,1,130,5,57,"1,138",16,"1,216",12,315,309,6,642,"2,262",60,"2,322","8,182","8,954",
Oct-23,DTW,MI,AGL,CE,Towers with Radar,"24,822",507,359,1,"25,689",38,54,49,0,141,0,0,46,0,46,0,4,58,0,62,0,0,0,"25,735","25,938",
Oct-23,EGE,CO,ANM,WE,Federal Contract Tower,157,562,522,2,"1,243",0,0,0,0,0,0,3,872,92,967,0,2,51,1,54,"1,415",78,"1,493","3,703","3,757",
Oct-23,EWR,NJ,AEA,EN,Towers with Radar,"35,763",854,436,4,"37,057",20,20,22,4,66,2,80,748,8,838,1,"1,221","8,841",693,"10,756",0,0,0,"37,895","48,717",
Oct-23,EYW,FL,ASO,ES,Federal Contract Tower,"1,078",360,724,9,"2,171",6,0,0,475,481,0,71,"1,563",7,"1,641",0,50,120,284,454,142,8,150,"3,962","4,897",
Oct-23,FAT,CA,AWP,WE,Combined TRACON & Tower with Radar,"2,338",284,691,101,"3,414",0,0,0,0,0,4,364,"2,724",209,"3,301",0,66,313,4,383,"1,517",142,"1,659","8,374","8,757",
Oct-23,FAY,NC,ASO,EN,Combined TRACON & Tower with Radar,201,387,500,145,"1,233",1,2,1,3,7,0,51,759,35,845,0,36,145,7,188,"1,006",134,"1,140","3,218","3,413",
Oct-23,FDK,MD,AEA,EN,Federal Contract Tower,0,16,445,4,465,0,0,0,0,0,0,142,"2,805",2,"2,949",10,50,144,56,260,"5,552",4,"5,556","8,970","9,230",
Oct-23,FLL,FL,ASO,ES,Towers with Radar,"19,059","2,305","2,242",48,"23,654",65,6,8,0,79,46,285,596,80,"1,007",1,33,"1,230",67,"1,331",0,0,0,"24,661","26,071",
Oct-23,FSD,SD,AGL,CE,Combined TRACON & Tower with Radar,"1,382","1,384","1,599",253,"4,618",6,14,11,1,32,0,113,959,18,"1,090",0,321,83,7,411,832,102,934,"6,642","7,085",
Oct-23,FSM,AR,ASW,ES,Combined TRACON & Tower with Radar,162,113,387,79,741,0,2,2,0,4,0,45,451,33,529,0,47,25,0,72,232,76,308,"1,578","1,654",
Oct-23,FTW,TX,ASW,CE,Towers with Radar,16,875,"2,962",155,"4,008",115,37,111,117,380,0,56,"3,519",31,"3,606",0,333,424,12,769,"9,848",14,"9,862","17,476","18,625",
Oct-23,FTY,GA,ASO,ES,Federal Contract Tower,0,553,"1,665",3,"2,221",0,0,0,0,0,0,0,"1,459",1,"1,460",0,8,860,12,880,"3,055",58,"3,113","6,794","7,674",
Oct-23,FXE,FL,ASO,ES,Towers with Radar,1,"1,688","3,253",6,"4,948",1,11,85,0,97,0,446,"5,967",23,"6,436",0,34,368,12,414,"4,646",1,"4,647","16,031","16,542",
Oct-23,GEG,WA,ANM,WE,Combined TRACON & Tower with Radar,"3,934",792,486,64,"5,276",15,29,104,255,403,3,36,299,7,345,0,265,169,83,517,309,30,339,"5,960","6,880",
Oct-23,GRB,WI,AGL,CE,Combined TRACON & Tower with Radar,571,764,872,35,"2,242",0,8,2,3,13,0,16,832,5,853,0,13,19,0,32,"1,082",8,"1,090","4,185","4,230",
Oct-23,GRR,MI,AGL,CE,Towers with Radar,"3,028",884,"1,360",22,"5,294",2,2,6,0,10,3,74,691,4,772,0,11,33,1,45,707,28,735,"6,801","6,856",
Oct-23,GSO,NC,ASO,ES,Combined TRACON & Tower with Radar,"2,754","1,131","1,642",174,"5,701",9,9,21,0,39,2,37,"2,044",50,"2,133",0,3,59,0,62,"1,742",154,"1,896","9,730","9,831",
Oct-23,GYY,IN,AGL,CE,Federal Contract Tower,44,230,669,20,963,0,0,1,0,1,0,4,362,65,431,0,6,262,7,275,719,60,779,"2,173","2,449",
Oct-23,HEF,VA,AEA,EN,Towers with Radar,0,535,"1,250",38,"1,823",1,0,1,2,4,0,"1,440","1,937",155,"3,532",0,40,26,25,91,"5,030",0,"5,030","10,385","10,480",
Oct-23,HNL,HI,AWP,WE,Towers with Radar,"14,049","3,288",631,988,"18,956",0,0,0,1,1,0,"4,808","4,447",183,"9,438",0,0,0,0,0,0,0,0,"28,394","28,395",
Oct-23,HOU,TX,ASW,CE,Towers with Radar,"10,885","2,606","3,264",5,"16,760",15,10,27,4,56,0,44,"1,092",27,"1,163",0,983,491,123,"1,597",0,0,0,"17,923","19,576",
Oct-23,HPN,NY,AEA,EN,Towers with Radar,"2,496","4,227","2,824",2,"9,549",8,9,22,0,39,0,347,"3,392",4,"3,743",0,23,240,7,270,"1,853",0,"1,853","15,145","15,454",
Oct-23,HSV,AL,ASO,ES,Combined TRACON & Tower with Radar,"1,196","1,110",637,806,"3,749",1,1,19,23,44,0,172,715,167,"1,054",0,12,61,35,108,306,862,"1,168","5,971","6,123",
Oct-23,HXD,SC,ASO,ES,Federal Contract Tower,319,679,919,16,"1,933",0,0,0,3,3,0,5,"1,173",10,"1,188",0,0,24,50,74,98,42,140,"3,261","3,338",
Oct-23,IAD,VA,AEA,EN,Towers with Radar,"17,064","5,790","2,817",44,"25,715",15,43,45,5,108,1,29,91,14,135,0,140,228,106,474,0,0,0,"25,850","26,432",
Oct-23,IAH,TX,ASW,CE,Towers with Radar,"31,650","4,675",606,4,"36,935",34,8,4,0,46,0,26,60,4,90,0,51,298,60,409,0,0,0,"37,025","37,480",
Oct-23,ICT,KS,ACE,CE,Combined TRACON & Tower with Radar,"1,997",880,"1,999",716,"5,592",3,24,36,11,74,2,114,"1,593",164,"1,873",0,88,112,26,226,"1,728",136,"1,864","9,329","9,629",
Oct-23,IFP,AZ,AWP,WE,Federal Contract Tower,67,20,56,3,146,0,0,0,0,0,0,109,544,13,666,0,51,71,2,124,306,24,330,"1,142","1,266",
Oct-23,IND,IN,AGL,CE,Combined TRACON & Tower with Radar,"10,971","1,301","1,290",69,"13,631",3,15,69,0,87,0,"3,770",251,19,"4,040",0,113,146,13,272,0,0,0,"17,671","18,030",
Oct-23,INT,NC,ASO,ES,Federal Contract Tower,17,358,718,0,"1,093",0,0,6,0,6,0,172,"1,561",13,"1,746",0,390,79,2,471,"1,220",0,"1,220","4,059","4,536",
